id,museum_sammlungsbereich,standort,exakter_standort,inventarnummer,alte_inventarnummern,objektbezeichnung_gegenstand,titel,kategorie,objektgattung,objekttyp,anzahl_teile,erfassungsstatus,darstellung_ikonographie,personen_gnd,personen_nicht_normiert,herstellungsort,fundort,dargestellter_genannter_ort,gebrauchsort,ort_der_geistigen_schoepfung,druckort,entstehungsort,publikationsort_verlagsort,technik,material,farbe,hoehe,breite,tiefe,durchmesser,laenge,gewicht,massstab,beschriftung_aufdruck,datumsart,beginn,ende,herstellungszweck,verwendungszweck,land,ethnie,stil,sachgruppe,schlagwoerter,beschreibung,literatur_gvk,literatur_freitext,weblinks,bemerkungen,zustand,fundstelleid,massnahmeid,fundid,fundstellennummer,fundnummer,fundumstaende,befund,schnitt,lagebeschreibung,fund_bemerkung,bezugssystem,longitude,latitude,fund_3d_koordinaten,objektgeschichte,hornbostelsachs
365357,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 013,,Skulptur,Frauenfigur,Skulptur,Plastik/Skulptur,3D-Objekt,,in Bearbeitung,,,,,,,,,,,,,Ton,Sattelbraun,5.6cm,2.3cm,1.7cm,,,29g,,,Herstellungsdatum,-500000,-10000,,,,,,,,"Es handelt sich um eine Nachbildung. Arme sind nur angedeutet, seitlich an den Körper gelegt. Hände und Füße sind nicht dargestellt. Der Kopf ist bohnenförmig, flach, schmal und nach unten gestreckt, anonym. Sehr starke Brüste, breites Gesäß.",,,,Kopf ist geklebt (Stand: 10.08.2015). Reparaturstelle: Kopf und linke Schulter waren in einem Stück abgebrochen. Handschriftlicher Vermerk auf der Karteikarte: schlechte Kopie? Wie K 166 aus Gagarino am Don? ARA-Kunst?,,,,,,,,,,,,,,,,,
365358,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 014b,,Skulptur,Weibliche Figur,Skulptur,Plastik/Skulptur,3D-Objekt,,in Bearbeitung,,,,Ukraine,,,,,,,,,Gips,Gebräunt,6.9cm,1.45cm,1.3cm,,,24g,,,,,,,,,,,,,"Die Arme und Beine der stehenden Figur sind nur angedeutet (seitlich angelegt), Hände und Füße sind nicht dargestellt. Der Kopf ist bohnenförmig, flach, schmal, nach vorn gestreckt und anonym. Der Unterleib ist vorgewölbt. Große Brüste, sehr lange Beine.",,,,"Zweite Kopie K 014a von Norma Thewes schöner rekonstruiert steht in DA Vitrine 1. August 1997: an den Befestigungsstellen abgebrochen. Stand November 2018: Bein abgebrochen, muss restauriert werden. (Einschätzung Dauer Jorun Ruppel: ca. 2 Stunden)",,,,,,,,,,,,,,,,,
365359,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 014a,,Skulptur,Weibliche Figur,Skulptur,Plastik/Skulptur,3D-Objekt,,in Bearbeitung,,,,Ukraine,,,,,,,,,Gips,Gebräunt,6.9cm,1.4cm,1.3cm,,,24g,,,,,,,,,,Paläolithikum,,,"Die Arme und Beine der stehenden Figur sind nur angedeutet (seitlich angelegt), Hände und Füße sind nicht dargestellt. Der Kopf ist bohnenförmig, flach, schmal, nach vorn gestreckt und anonym. Der Unterleib ist vorgewölbt. Große Brüste, sehr lange Beine.",,,,Kopie von Norma Thewes. Weitere Kopie K 014 (wohl nicht so schön) im Magazin Karton 1. Juli 1997: Reparatur Objekt von Halterung angebrochen,,,,,,,,,,,,,,,,,
365360,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 015,,Skulptur,"Weibliche Figur, weibl. Idol",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Schweiz,,,,,,,,,Gips,Peru,9.2cm,3.45cm,2.5cm,,,91g,,,,,,,,,,,,,Venusa von Kostienki? Kopf und Füße der stehenden Figur fehlen. (Bruchstelle? Im Bereich der Unterschenkel) Die Arme sind nur angedeutet (seitlich angelegt). Die großen Brüste liegen auf dem vorgewölbten Leib.,,Veröffentlicht in: Abb. Auf Fotokopie des ARA-Prospektes,,Erwerb und Jahr: ARA-Kunst,,,,,,,,,,,,,,,,,
365361,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 016,,Skulptur,Weiblicher Torso,Skulptur,Plastik/Skulptur,3D-Objekt,,in Bearbeitung,,,,,,,,,,,,,Gips,Helles Grau,4cm,2.9cm,1.1cm,,,26g,,,,,,,,,,,,,"An der flachen, breiten, stehenden Figur fehlen Kopf, Hals, Arme und Füße. Etwa in Höhe der Gürtellinie ist eine kräftige Rille, die den gesamten Rumpf umläuft, eingeschnitten. In der Mitte des Rumpfes ist eine nahezu quadratische Erhebung (ca. 1x1cm) herausgearbeitet, in deren unteren linken Ecke ein Grübchen (Durchmesser ca. 0,35cm) eingetieft ist. Außerdem weist die Figur jeweils eine kräftige Rinne auf entlang der Wirbelsäule, in den Leistenbeugen, sowie im Schambereich. Beide Brüste fehlen.",,,,,,,,,,,,,,,,,,,,,
365362,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 017,,Skulptur,"""Venus"" aus Ostrava-Petrkovice",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Tschechische Republik,,,,,,,,,Gips,Siena,4.6cm,1.6cm,1.4cm,,,7g,,,Herstellungsdatum,-30000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Archäologisches Institut der Tschechischen Akademie der Wissenschaften, Brünn. An dem weiblichen Torso fehlen Kopf, Hals, Arme sowie Unterschenkel mit Füßen. Noch zu erkennen ist die linke Brust; die Rechte fehlt. Der Bauch ist leicht vorgewölbt; der Bauchnabel durch eine runde Eintiefung dargestellt. Die Geschlechtsgegend wurde in Form eines Dreiecks ausgeformt; Gesäß und Beine sind hinten durch zwei sich kreuzende Rinnen angedeutet.",,"Veröffentlicht in: Abb. auf Fotokopie von ARA-Prospekt; Beschrieben in: Drößler: Die Venus der Eiszeit, S. 104",,Erwerb und Jahr: ARA-Kunst 19?,,,,,,,,,,,,,,,,,
365363,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 04,K 018,,Skulptur,Kykladen-Figur (geometrischer Stil),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Kykladen,,,,,,,,,Gips,Dunkles Meergrün,22.4cm,6.5cm,2.7cm,,,245g,,,,,,,,,,,,,"Beine und Oberkörper der im Profil gestreckten Frauenfigur sind durch zwei aneinandergesetzte Rechtecke dargestellt. Auf dem kräftigen, säulenförmigen Hals sitzt ein nachstilisierter, nach hinten geneigter Kopf, an dem nur die kräftige, flache Nase plastisch dargestellt ist. Das Geschlecht der Figur kommt nur durch zwei kleine Erhebungen, die die Brüste symbolisieren zum Ausdruck. Die Konturen der Arme, der Zwischenraum zwischen den Beinen, die Wirbelsäule sowie die Leistenbeugen sind durch kräftige, horizontal bzw. vertikal verlaufende Rillen dargestellt. An beiden Enden der horizontal, parallel zueinander auf dem Bauch liegenden Unterarme sind jeweils vier Finger ausgeformt. Die herabgestreckten Zehen sind durch Einkerbungen markiert. Beschädigung (vermutlich am Original) an der Rumpfrückseite, unten rechts.",,,,"Dezember 1997: Gipsabschlag an Befestigungsstellen entfernt und farblich ergänzt. Erwerb und Jahr: Hellner, Athen 1966?",,,,,,,,,,,,,,,,,
365364,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 019,,Skulptur,Frauenfigur (wahrscheinlich Schwangere),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Russland,,,,,,,,,Gips,Kräftiges Holz,12.2cm,3.9cm,3.15cm,,,135g,,,Herstellungsdatum,-40000,-9700,,,,,,,,"Es handelt sich um eine Nachbildung. Material des Originals: aus Knochen geschnitzt. Die stehende Figur ist nur grob ausgeformt, die Oberfläche ist nicht geglättet. Die Arme erscheinen senkrecht an den Rumpf gepreßt, sodaß die nur angedeuteten Hände auf dem Unterleib liegen. Die Beine sind kräftig, Füße sind nicht dargestellt. Der Kopf ist anonym (ohne Gesicht).",,,,,10.08.2015: Leichte Abschabung an Gesicht und rechtem Fuß,,,,,,,,,,,,,,,,
365365,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 04,K 020,,Skulptur,"Fruchtbarkeitsstatue ""Violinfigur""",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Griechenland,,,,,,,,,Gips,Blanchierte Mandel,22.8cm,8.3cm,0.7cm,,,295g,,,Herstellungsdatum,-2999,-2001,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Nationalmuseum Athen. Flaches, violinförmiges Idol mit langem, säulenförmigen Fortsatz nach oben, der Hals und Kopf gleichermaßen darstellt. Die Ausbuchtungen des ""Violinkörpers"" sind an den Seiten zu einer geraden Linie abgeflacht. Der Halsansatz ist auf der Vorderseite des Idols durch zwei parallel eingeritzte Linien gesäumt. Auf der Rückseite sowie auf der Vorderseite des Hals ansatzes befinden sich jeweils zwei Eintiefungen (ca. 0,65 cm). Leistenbeugen und Schultern sind durch breite, leicht eingetiefte Rinnen angedeutet. Eine ebensolche Rinne verläuft diagonal über den Bauch.",,,,,,,,,,,,,,,,,,,,,
365366,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 13,K 021,,Skulptur,Holzpuppe aus Uacuri,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Brasilien,,,,,,,,,Holz,Gebräunt,22.7cm,4.9cm,4.8cm,,,96g,,,,,,,Puppe,Südamerika,Karajá,,Freizeit/Unterhaltung/Genuß,,"Die aus einem Stück geschnitzte Figur ist weitgehend stilisiert. Die plastisch herausgearbeitete und schwarz bemalte Frisur ähnelt einem Pagenkopf. Das Gesicht wird durch einen breiten, horizontalen Grat symbolisiert, auf den vier hochkantig stehende Rechtecke mit jeweils zwei Punkten in der Mitte mit Schwarz aufgemalt sind. Um den Hals, an dem vorn eine kleine Stufe herausgearbeitet ist, sind zwei Ringe gemalt. In der Brusthöhe ist der Umfang des Rumpfes gleichmäßig verdickt. An die eingeschnürte Taille schließt sich die durch eine kräftige Einkerbung getrennten Schenkel an. Rumpf und Schenkel sind mit einem symetrisch angeordneten Linienmuster bemalt. Diese Figuren (sowohl aus Holz als auch aus Ton gefertigt) werden auch noch heute von den Karaja selbst angefertigt und sowohl als Fruchtbarkeitssymbole als auch als Spielzeug verwandt.",,"Beschrieben in: Hartmann, Günther (1973) Litjoko. Puppen der Karaja Brasiliens. Veröffentlichungen des Museums für Völkerkunde Berlin, N.F. 23. Berlin.",,"Erwerb und Jahr: Stiftung von Dr. Weidelt, 1965-1971. Sammler: Dr. Weidelt",,,,,,,,,,,,,,,,,
365367,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 13,K 022,,Skulptur,Litjoko,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Brasilien,,,,,,,,,Ton,Tomate,11.8cm,7.1cm,3.5cm,,,140g,,,,,,,,Südamerika,Karajá,,,,"Diese Frauenfigur, die sich bis zum Hals hin nahezu gleichmäßig verjüngt, ist weitgehend stilisiert. Der kräftige Hals läuft in zwei seitlichen Hörnchen aus, deren vordere Oberfläche mit gleichmäßig aufgetragenen schwarzen Punkten, die von zwei schwarzen Linien eingerahmt sind, verziert ist. An dem Rumpf sind oben zwei spitze Brüste ausgeformt. Oberhalb der deutlich modellierten Bauchfalte ist ein großer Nabel eingebohrt. Die Figur läuft nach unten stark gerundeten, mit einer Standfläche versehenen Knollenschenkeln aus. Der Rumpf ist mit rechteckigen Ornamenten aus schwarzen Linien und roter Flächenbemalung verziert. Auf die Knollenschenkel sind breite rote und schmale schwarze Ringe aufgetragen. Die Puppe trägt einen Schurz aus Maisblatt, der durch ein großes, schräg durch den Körper verlaufendes Loch zwischen den Schenkeln gezogen ist.",,"Beschrieben in: Hartmann, Günther (1973) Litjoko. Puppen der Karaja Brasiliens. Veröffentlichungen des Museums für Völkerkunde Berlin, N.F. 23. Berlin. Hartmann, Günther (1977) Kunsthandwerk eines Naturvolkes in Zentralbrasilien. In: Weltkunst, Heft 7, 1.4.1977, S.641-643.",,"Riss am Gürtel (Stand: 10.08.2015). Erwerb und Jahr: Stiftung von Dr. Weidelt, 1965-1971. Sammler: Dr. Weidelt",,,,,,,,,,,,,,,,,
365368,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 13 > Karton 13b,K 023,,Skulptur,Holzpuppe mit Schurz (weibl.),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Brasilien,,,,,,,,,Holz,Weizen,19.7cm,5cm,4.5cm,,,83g,,,,,,,,Südamerika,Karajá,,,,"Die aus einem Stück geschnitzte Frauenfigur ist weitgehend stilisiert. Der breite Hals mit ovalem Querschnitt läuft in zwei kurzen Hörnchen aus. Der Haaransatz ist schwarz markiert, die Augen sind durch zwei große schwarze Kreise dargestellt. An dem schlanken Rumpf sind oben zwei runde, leicht seitlich gerichtete Brüste herausgearbeitet. Die Trennungslinie zwischen den unproportional kurzen Schenkeln ist durch eine kräftige Einkerbung, der Bauchnabel durch eine kleine Bohrung markiert. Der gesamte Körper ist mit schwarz gemalten Winkelornamenten verziert. Die Puppe trägt einen Schurz aus Maisblatt.",,"Beschrieben in: Hartmann, Günther (1973) Litjoko. Puppen der Karaja. Brasilien.Veröffentlichungen des Museums für Völkerkunde. Berlin. (Berlin N.F. 23)",,"Geschenk von Dr. Weidelt,1969, vgl. Korrespondenz",,,,,,,,,,,,,,,,,
365369,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 13,K 024,,Skulptur,Weibliche Litjoko (Tonfigur),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Brasilien,,,,,,,,,Ton,Tomate,11.7cm,7.9cm,3.9cm,,,160g,,,,,,,,Südamerika,Karajá,,,,"Diese Frauenfigur ist weitgehend stilisiert. Der Kopf ist durch ein im Profil flaches, auf der Spitze stehendes Dreieck dargestellt, in das zwei große Augen und Augenbrauenlinien eingeritzt sind. Die Ritzlinien sind mit schwarzer (Augen) bzw. roter (Augenbrauen) Farbe zusätzlich betont. Der schlanke Oberkörper mit den spitzen, hohen Brüsten geht ohne Trennungslinie in die stark gerundeten, unten etwas abgeflachten Knollenschenkel über. Die Vorderansicht des Rumpfes und der Schenkel ist mit roter und schwarzer Flächen- und Linienbemalung verziert.",,"Beschrieben in: Hartmann, Günther (1973) Litjoko. Puppen der Karaja Brasiliens. Veröffentlichungen des Museums für Völkerkunde Berlin, N.F. 23. Berlin. Hartmann, Günther (1977) Kunsthandwerk eines Naturvolkes in Zentralbrasilien. In: Weltkunst, Heft 7, 1.4.1977, S.641-643.",,"Riss am linken Bein (Stand: 10.08.2015). Geschenk von Dr. Weidelt,1969, vgl. Korrespondenz",,,,,,,,,,,,,,,,,
365370,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12 > Karton 12b,K 025,,Skulptur,"Litjoko (Tonpuppe), Schwangere",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Brasilien,,,,,,,,,Ton,Weizen,18cm,7.9cm,4.6cm,,,300g,,,,,,,,Südamerika,Karajá,,,,"Die Plastik zeigt eine stehende Schwangere. Die Proportionen des Körpers sind realistisch, nur der Kopf ist zu einer breiten, flachen, nach vorn gezogenen Zunge stilisiert, in deren Oberfläche in dichter Folge kleine Löcher eingestochen sind. Die Brüste sind hochstehend und spitz. Die Arme sind seitlich abgewinkelt, die nicht besonders modellierten Hände liegen seitlich auf dem weit vorgewölbten Bauch. Der Nabel ist tief eingestochen. Die Vorderansicht der Figur ist mit schwarzen, parallel laufenden Linien bemalt. Das Kopfhaar ist ebenfalls mit schwarzer Farbe markiert.",,"Beschrieben in: Hartmann, Günther (1973) Litjoko. Puppen der Karaja Brasiliens. Veröffentlichungen des Museums für Völkerkunde, Berlin, N.F. 23, Berlin. Hartmann, Günther (1977) Kunsthandwerk eines Naturvolkes in Zentralbrasilien. In: Weltkunst. Heft 7, 1.4.1977, S. 641-643.",,Reparaturstelle am linken Fuß. März 1998: neue Objekthalterung. Erwerb und Jahr: 1965-1971. Sammler: Dr. Weidelt,,,,,,,,,,,,,,,,,
365371,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 13,K 026,,Skulptur,Litjoko (Tonpuppe),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Brasilien,,,,,,,,,Ton,,16.8cm,7.7cm,6cm,,,335g,,,,,,,,Südamerika,Karajá,,,,"Diese Plastik zeigt eine kniende Frau in realistischer Darstellung. Nur der Kopf ist in einer breiten, flachen, nach vornüberstehenden Zunge stilisiert, deren Oberfläche mit zwei Reihen kurzer schwarzer Striche bemalt ist. Der ""Kopf"" und der breite, im Profil flache Hals werden umrahmt von einer besonders modellierten und aufgesetzten, mit schwarzer Farbe überzogenen Haartracht, die über die Schultern bis auf den Rücken fällt. Die Brüste sind klein und hoch. Die Arme stehen halbkreisförmig vom Körper ab; die nicht besonders ausmodellierten Hände sind auf die Hüften gestützt. Unmittelbar über der plastisch dargestellten Bauchfalte ist der Nabel tief eingebohrt. Die Schambehaarung ist dargestellt durch eine vergröberte Oberflächenstruktur des Tones. Auf die Oberarme sind jeweils vier schwarze Ringe aufgemalt. Oberkörper und Schenkel sind mit schwarz aufgemalten Winkeln in symetrischer Anordnung verziert.",,"Beschrieben in: Hartmann, Günther (1973) Litjoko. Puppen der Karaja Brasiliens. Veröffentlichungen des Museums für Völkerkunde Berlin, N.F. 23. Berlin. Hartmann, Günther (1977) Kunsthandwerk eines Naturvolkes in Zentralbrasilien. In: Weltkunst, Heft 7, 1.4.1977, S.641-643.",,"Geschenk von Dr. Weidelt, 1969, vgl. Korrespondenz",,,,,,,,,,,,,,,,,
365372,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 13,K 027,,Skulptur,Litjoko (weibl. Tonpuppe),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Brasilien,,,,,,,,,Ton,,15cm,10.5cm,7.7cm,,,325g,,,,,,,,Südamerika,Karajá,,,,"Die Frauenfigur ist weitgehend stilisiert. Der kräftige Hals läuft oben in einer breiten, flachen Zunge aus, deren Oberfläche mit kleinen Tonklümpchen dicht besetzt ist. Wohlproportioniert sind die spitzen, hohen Brüste und der Rumpf. Oberhalb der modellierten Bauchfalte ist ein großer Nabel eingebohrt. Die stark gerundeten, mit abgeflachter Standfläche versehenen Knollenschenkel verlaufen unten in kleine, spitze Füße aus. Auf Rumpf und Brüste sind vorn überstehend schwarze Zickzacklinien und rote Geraden waagerecht aufgemalt. Die Außenseiten der Beine sind mit schwarzen und roten Rhomben und Zickzacklinien verziert. Um jedes Bein verläuft ein schwarzer Ring. Die darunter anschließende Fläche, einschließlich der Füße, ist rot bemalt. Die Puppe trägt einen Schurz aus Maisblatt, der durch ein großes, schräg durch den Körper verlaufendes Loch zwischen den Schenkeln gezogen ist.",,"Beschrieben in: Hartmann, Günther (1973) Litjoko. Puppen der Karaja Brasiliens. Veröffentlichungen des Museums für Völkerkunde Berlin, N.F. 23. Berlin. Hartmann, Günther (1977) Kunsthandwerk eines Naturvolkes in Zentralbrasilien. In: Weltkunst, Heft 7, 1.4.1977, S.641-643.",,"Geschenk von Dr. Weidelt,1969, vgl. Korrespondenz",,,,,,,,,,,,,,,,,
